frame,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
0,35.06,15.37,159.54,,12.11,18.25,175.01,165.77
1,30.52,21.26,157.96,,10.87,18.87,174.73,167.62
2,23.32,26.04,158.15,,9.8,22.37,174.26,177.62
3,19.51,33.29,159.06,,9.52,25.59,173.83,179.55
4,17.96,42.98,159.34,,10.13,31.76,173.44,178.73
5,17.31,40.51,154.42,,10.32,32.37,175.51,179.86
6,17.76,35.2,152.16,,10.8,29.33,175.73,179.98
7,20.27,32.83,156.6,,10.8,25.53,177.04,179.55
8,21.95,30.07,159.0,,10.92,23.42,176.82,177.74
9,23.4,28.37,163.39,142.84,11.14,20.75,174.64,176.77
10,24.19,29.72,167.83,154.8,11.53,22.22,171.66,174.26
11,23.59,30.32,167.41,161.13,11.14,25.41,171.98,174.41
12,22.95,29.24,166.52,158.53,11.42,28.03,171.58,174.75
13,21.23,26.25,158.92,164.05,12.45,31.39,176.19,177.0
14,21.15,25.2,155.39,167.1,13.79,30.07,178.55,177.39
15,28.57,19.73,155.71,164.53,15.85,24.18,179.36,178.39
16,50.68,16.52,157.57,155.42,9.37,18.04,179.21,176.1
17,103.58,13.32,158.4,155.91,12.37,14.1,179.26,176.55
18,128.52,12.71,158.86,165.87,6.12,12.92,178.97,176.81
19,80.39,14.58,157.3,167.02,7.77,13.35,179.66,179.39
20,71.59,15.59,157.93,166.49,2.95,14.08,178.71,179.47
21,56.35,17.54,157.82,164.09,7.91,15.68,178.52,179.29
22,40.32,19.25,158.8,160.07,11.51,17.19,176.91,178.2
23,30.78,20.4,159.96,160.96,12.32,19.58,176.37,177.38
24,24.53,21.66,159.95,163.77,12.44,20.44,176.73,176.64
25,21.51,25.6,159.8,166.7,13.14,21.43,177.33,176.47
26,19.8,25.33,157.5,168.94,12.94,23.08,178.48,176.7
27,18.77,25.08,154.88,171.02,12.55,23.78,179.57,176.63
28,18.9,27.57,158.31,172.67,11.79,24.42,178.68,178.0
29,18.21,28.09,161.24,166.67,11.33,24.69,177.6,178.68
30,19.99,26.14,162.87,165.06,11.39,23.78,177.05,179.51
31,20.84,25.51,164.64,160.29,11.53,22.39,176.09,179.83
32,21.01,23.27,167.46,152.6,11.54,21.57,174.75,179.58
33,22.24,19.25,168.15,152.81,11.42,20.96,174.51,179.66
34,23.56,17.3,167.37,156.21,10.68,20.85,174.96,178.95
35,23.72,14.07,166.33,156.55,10.16,20.92,175.57,179.16
36,23.68,8.34,164.87,163.12,9.82,19.72,175.95,179.94
37,22.53,4.82,164.61,148.4,8.85,16.54,175.52,178.43
38,23.56,1.21,165.87,134.27,7.17,10.89,173.86,176.17
39,24.67,0.46,166.26,121.79,5.36,7.64,173.04,175.5
40,23.42,1.86,170.77,111.33,2.64,7.08,171.93,172.12
41,21.99,5.37,172.4,74.61,1.1,9.32,172.03,168.2
42,20.35,2.86,177.26,50.97,1.31,10.73,171.9,164.77
43,16.68,1.22,179.29,48.31,4.04,16.29,172.01,166.34
44,8.43,13.65,177.17,39.46,7.72,22.15,171.96,167.99
45,7.93,35.0,177.51,,9.78,23.95,174.37,163.1
46,5.86,112.38,177.42,,12.97,11.25,175.99,162.41
47,5.04,162.93,178.25,178.4,14.11,11.17,175.93,167.43
48,2.84,169.61,178.14,127.5,14.09,11.89,176.4,179.55
49,2.85,145.08,177.18,2.31,12.8,14.18,176.21,178.89
50,2.1,121.75,177.63,,12.33,22.6,175.02,169.48
51,2.7,71.98,178.42,,12.1,25.43,174.75,161.64
52,6.86,50.5,178.43,,11.78,24.88,173.62,160.36
53,10.51,22.62,178.99,,11.32,23.26,173.26,156.21
54,13.82,13.26,179.29,,11.31,22.04,173.05,156.69
55,17.22,6.37,178.89,,10.58,20.23,173.53,162.3
56,20.76,1.57,178.2,,9.23,17.78,173.03,163.78
57,21.82,3.13,176.54,,8.72,17.29,172.89,168.51
58,24.42,7.69,174.45,,7.37,19.03,173.37,169.39
59,25.53,10.69,173.4,,6.92,21.43,172.47,170.86
60,27.19,12.87,172.18,,7.01,23.07,172.7,172.2
61,30.33,13.89,170.98,146.96,6.92,23.77,172.77,174.55
