image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
Minimum,2.94,2.1,15.59,48.28,148.9,145.56,13.54,18.32,89.14,62.66
Maximum,179.91,70.24,66.15,168.03,179.55,178.73,74.58,54.05,130.84,103.65
Minimum,56.51,--,17.35,--,146.32,159.93,18.14,--,92.8,79.52
Maximum,179.96,--,179.97,--,179.35,179.26,118.42,--,124.21,105.84
Minimum,0.59,138.9,7.67,155.43,136.82,122.21,1.73,98.47,54.22,0.53
Maximum,88.09,179.87,79.11,179.8,178.85,176.07,39.88,132.85,168.53,102.35
Minimum,107.99,29.67,3.79,14.74,139.66,149.7,45.81,0.71,86.22,74.69
Maximum,179.83,90.27,166.17,145.56,179.07,179.66,118.8,178.89,127.88,114.06
Minimum,1.14,135.96,12.75,8.19,140.34,121.33,1.45,82.27,52.61,33.51
Maximum,59.87,179.65,60.79,178.29,173.4,178.48,39.44,119.11,176.8,92.2
