image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
Minimum,93.68,0.15,18.42,42.38,151.49,156.64,2.7,9.83,83.15,80.66
Maximum,179.69,51.74,172.12,132.26,179.88,179.53,65.73,87.58,121.18,114.14
Minimum,152.87,0.2,101.71,26.7,150.12,165.54,67.34,0.96,78.46,88.34
Maximum,179.94,54.87,179.34,106.94,179.99,179.86,110.42,81.04,111.06,115.58
Minimum,22.73,4.7,117.11,108.36,151.17,118.38,4.0,73.11,1.67,70.24
Maximum,154.08,179.77,178.51,179.9,176.58,174.61,172.04,123.43,115.16,175.34
Minimum,36.35,3.31,1.51,11.98,137.44,157.64,65.09,0.86,82.0,89.71
Maximum,179.81,78.23,178.88,75.91,180.0,179.47,114.54,48.12,122.58,116.57
Minimum,6.41,119.04,8.58,0.92,132.97,117.46,19.62,96.0,5.46,10.11
Maximum,103.66,179.99,179.99,178.85,178.39,177.76,138.74,121.66,158.34,148.08
