frame,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
0,78.73,65.87,141.29,164.09,29.82,8.44,151.44,178.71
1,57.53,67.13,138.04,163.58,36.74,8.49,150.53,178.62
2,54.55,69.64,135.87,162.33,38.3,8.11,149.77,178.84
3,58.98,71.56,133.25,161.77,40.85,8.77,149.55,178.97
4,60.1,74.95,132.16,161.74,40.9,9.78,149.58,178.98
5,64.34,76.64,127.31,161.63,42.47,13.59,146.86,179.32
6,73.68,78.9,123.8,161.54,47.04,15.96,143.32,179.56
7,81.18,77.92,120.15,161.23,52.66,14.9,141.28,179.83
8,89.42,78.49,120.04,160.81,60.57,15.0,141.32,179.71
9,105.98,73.71,118.23,160.5,60.0,6.1,140.06,178.69
10,64.98,66.5,116.81,157.76,67.96,7.36,137.16,177.77
11,64.44,59.22,116.95,156.97,66.13,8.19,137.57,177.29
12,58.54,70.67,115.78,154.91,52.24,24.11,135.07,176.06
13,78.73,70.89,115.91,153.23,45.36,26.33,134.13,174.73
14,73.75,80.44,113.06,146.78,41.97,31.01,130.98,168.63
15,137.82,91.74,114.15,147.0,33.91,29.6,131.38,167.13
16,98.41,113.71,114.92,143.55,35.67,39.77,128.11,166.03
17,88.84,112.53,116.21,141.43,41.08,46.5,129.82,165.1
18,72.0,98.42,123.88,132.96,74.02,46.68,133.95,159.93
19,82.86,130.28,122.2,131.56,69.3,32.57,134.76,152.53
20,82.41,120.87,123.63,129.73,61.85,30.73,139.24,150.59
21,68.1,78.03,132.84,132.84,56.19,12.34,143.62,156.92
22,52.33,78.3,137.09,135.97,45.68,10.34,145.7,160.49
23,50.44,104.87,132.28,135.43,47.62,16.78,141.64,157.91
24,43.68,107.1,130.53,135.99,37.0,19.29,141.33,157.42
25,64.57,119.44,127.98,137.57,36.0,36.1,144.39,158.14
26,,118.83,123.69,136.15,,36.47,143.32,155.52
27,,103.94,126.27,140.78,,19.75,145.61,158.72
28,,101.69,125.94,142.95,,17.64,146.31,160.16
29,,95.88,132.48,142.93,,15.33,149.26,160.7
30,,94.73,136.22,143.36,,12.35,149.73,161.88
31,,100.55,138.57,143.19,,10.61,150.88,161.78
32,,94.32,150.16,142.86,,1.71,154.2,161.89
33,,91.29,145.75,142.76,,3.45,151.69,161.85
34,,93.07,150.24,142.07,,4.62,154.62,161.87
35,,94.03,148.67,141.33,,4.44,153.19,161.16
36,,96.55,147.63,141.49,,1.58,151.61,160.75
37,,94.9,143.9,140.97,,3.84,149.66,159.84
38,,97.01,140.68,140.83,,10.0,145.88,159.17
39,,88.63,140.68,140.97,,25.71,146.84,156.46
40,,64.44,142.22,141.1,,30.28,148.02,156.48
41,,42.71,136.31,141.64,,33.17,146.22,156.47
42,,41.51,127.66,140.94,,32.02,142.11,156.29
43,,34.09,124.42,140.77,,41.77,141.01,152.66
44,,36.97,125.49,141.33,,43.52,141.13,152.53
45,,38.48,124.78,142.0,,46.83,140.57,153.51
46,,37.92,125.08,143.78,,48.14,140.56,154.67
47,,34.66,126.29,145.8,,56.2,142.46,156.83
48,,33.68,127.21,146.74,,57.14,143.23,157.67
49,,31.19,125.97,147.66,,61.55,142.49,158.06
50,,28.93,125.5,148.38,,62.92,142.44,158.97
51,,29.0,125.44,148.46,,63.55,142.44,159.45
52,,32.43,125.34,148.75,,63.46,142.49,159.7
