image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,,16.42,,76.42,176.55,176.78,,18.32,89.14,103.65
2,,70.24,,160.25,161.93,163.52,,18.32,105.69,88.42
3,,16.03,,67.66,162.49,170.58,32.37,38.37,99.32,81.68
4,161.99,2.1,42.07,61.65,178.56,168.3,44.19,39.31,110.37,81.89
5,157.26,60.75,41.6,168.03,175.63,164.17,40.95,21.38,112.33,80.31
6,167.47,51.05,40.51,108.04,173.0,165.07,38.05,23.39,116.92,81.12
7,131.72,26.74,41.22,62.0,162.75,163.12,38.7,38.31,123.61,82.46
8,144.81,20.66,51.07,73.83,165.52,145.56,74.58,54.05,121.96,72.44
9,148.69,13.12,45.16,48.28,170.91,162.61,63.16,19.93,113.27,78.74
10,154.07,12.27,50.45,84.51,169.81,163.83,62.93,33.35,115.71,76.9
11,141.74,,51.9,,170.85,162.51,64.99,,114.5,78.26
12,167.18,,43.3,,175.3,165.68,54.41,,109.9,82.33
13,159.32,,48.09,,179.55,163.34,55.54,,108.54,79.04
14,159.03,,30.5,,160.03,167.96,41.33,,112.97,91.05
15,161.6,,31.49,,162.09,173.46,48.79,,105.0,102.51
16,155.62,,39.35,,152.71,170.44,45.95,,122.32,94.26
17,147.52,,33.34,,151.89,165.29,59.78,,116.63,92.37
18,144.15,,39.16,,149.28,170.83,53.6,,119.61,97.6
19,154.6,,33.01,,157.09,169.65,49.09,,117.85,93.96
20,168.37,,21.11,,174.46,162.8,36.24,,110.7,82.94
21,176.75,,15.59,,158.71,154.66,36.19,,113.83,86.89
22,176.57,,26.83,,163.24,161.61,23.52,,116.25,81.3
23,166.65,,16.75,,166.13,165.75,57.58,,113.52,87.94
24,162.3,,31.86,,172.8,175.83,14.18,,103.92,86.52
25,171.95,,34.34,,177.05,170.71,31.9,,108.67,83.26
26,171.5,,25.75,,179.12,175.89,21.78,,112.52,74.62
27,179.91,,30.83,,178.8,178.73,34.44,,102.9,80.77
28,162.8,,33.66,,169.54,168.4,37.33,,114.8,78.18
29,172.89,,33.11,,166.17,161.18,38.31,,115.72,81.09
30,163.15,,36.19,,164.68,163.9,40.41,,120.06,84.17
31,157.35,,41.18,,165.4,163.19,41.59,,123.77,79.74
32,69.16,,56.52,,170.12,173.03,31.0,,124.19,72.09
33,103.3,,56.81,,172.24,174.87,50.37,,125.61,70.36
34,133.96,,53.09,,171.42,169.46,43.43,,115.64,76.56
35,137.51,,53.48,,172.01,172.7,45.68,,117.34,75.52
36,167.79,,42.34,,150.53,160.6,49.17,,130.84,90.22
37,151.47,,54.32,,148.9,172.83,58.05,,126.13,99.15
38,159.82,,59.16,,152.59,174.24,58.8,,127.97,95.22
39,158.73,,54.11,,153.22,159.61,45.11,,124.73,87.37
40,144.35,,49.18,,154.15,162.01,46.27,,125.86,90.69
41,138.78,,66.15,,153.42,168.25,62.38,,129.65,88.15
42,142.85,,52.84,,162.32,159.85,65.28,,118.28,81.87
43,143.44,,45.16,,150.69,154.58,74.28,,123.16,82.67
44,150.12,,45.2,,155.85,157.68,74.23,,121.98,75.14
45,152.87,,42.92,,159.22,150.39,65.33,,125.76,62.66
46,131.27,,47.27,,153.1,150.1,68.81,,126.08,66.44
47,30.65,,45.94,,178.26,161.88,13.54,,125.73,73.17
48,2.94,,49.56,,174.48,157.14,27.1,,109.08,88.99
49,41.3,,46.19,,171.18,150.69,17.77,,115.09,87.37
50,160.15,,49.07,,172.44,151.28,18.3,,109.29,89.17
