image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,81.6,,17.35,,148.45,167.61,18.14,,114.35,93.44
2,56.51,,38.59,,156.57,171.12,59.63,,98.17,105.84
3,173.78,,179.07,,158.08,171.18,109.34,,101.32,98.63
4,168.94,,173.94,,159.81,167.69,100.84,,99.71,92.14
5,173.31,,176.21,,160.86,165.61,108.31,,103.77,85.34
6,176.46,,174.03,,159.48,163.89,109.09,,103.85,86.18
7,179.59,,150.88,,164.49,165.16,91.61,,101.17,94.78
8,169.53,,158.87,,169.21,168.27,88.23,,103.02,90.83
9,170.66,,153.73,,171.91,171.04,86.14,,103.96,90.44
10,178.6,,175.41,,171.71,165.0,106.7,,104.47,82.63
11,178.88,,177.98,,173.51,174.99,107.58,,97.86,87.56
12,178.4,,176.85,,176.08,179.26,106.93,,94.95,90.91
13,176.87,,166.15,,174.49,178.06,98.94,,97.79,90.12
14,178.48,,167.9,,176.97,176.64,100.32,,96.08,91.61
15,178.8,,166.37,,177.01,177.29,100.05,,92.8,93.97
16,170.93,,176.64,,158.32,177.39,108.65,,114.02,94.26
17,171.69,,179.32,,158.24,173.24,109.67,,112.15,94.0
18,168.52,,176.42,,156.44,173.51,109.05,,115.11,93.04
19,178.05,,177.03,,172.09,177.48,96.87,,110.87,104.49
20,174.75,,179.97,,158.78,172.53,98.84,,115.89,102.23
21,178.27,,177.43,,161.44,172.76,97.09,,115.45,100.28
22,179.63,,175.82,,174.59,168.52,100.41,,114.29,87.77
23,178.29,,178.02,,175.66,168.88,102.2,,110.66,85.88
24,172.0,,176.78,,172.9,160.49,102.72,,116.57,79.52
25,177.18,,164.47,,179.35,165.53,89.44,,107.17,84.39
26,178.06,,164.74,,176.83,171.51,90.63,,106.99,89.65
27,177.57,,169.75,,171.33,172.15,97.67,,107.56,88.89
28,170.74,,166.06,,172.6,169.78,94.43,,115.28,86.96
29,169.5,,162.36,,176.54,171.19,93.04,,114.54,89.22
30,174.04,,166.9,,176.72,172.02,99.73,,114.31,89.16
31,178.71,,167.3,,161.46,167.57,105.63,,118.9,96.2
32,167.61,,121.46,,153.83,172.15,74.33,,122.04,101.0
33,171.63,,145.25,,153.88,173.74,81.36,,120.84,102.38
34,170.77,,148.84,,146.32,172.43,85.24,,124.21,102.94
35,179.3,,173.97,,156.36,166.53,105.44,,112.72,89.93
36,179.96,,178.71,,156.63,166.29,109.37,,111.0,89.84
37,178.64,,178.14,,155.65,159.93,108.21,,112.8,84.8
38,174.14,,176.11,,170.8,171.84,94.62,,105.84,90.75
39,175.92,,177.64,,178.93,175.18,96.35,,105.08,88.35
40,179.8,,178.01,,170.02,166.45,101.57,,102.37,102.58
41,178.9,,178.12,,168.52,177.39,103.98,,103.54,90.78
42,178.62,,178.63,,169.49,170.75,106.63,,97.28,84.35
43,165.69,,177.74,,165.26,173.37,116.5,,113.52,96.55
44,176.35,,179.88,,160.79,168.06,112.3,,119.68,88.32
45,174.01,,179.59,,159.93,167.93,118.42,,120.3,90.05
46,173.75,,173.73,,157.23,169.46,116.55,,122.72,97.8
