image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,164.82,75.98,161.13,95.01,179.01,178.36,118.8,24.72,110.48,90.18
2,179.83,35.1,122.17,38.96,178.02,172.89,96.48,21.54,110.41,91.15
3,170.75,90.1,152.04,125.35,175.52,169.56,95.32,0.71,109.89,92.46
4,175.38,86.58,116.74,61.81,150.55,171.06,102.24,4.45,119.43,92.55
5,176.18,84.07,151.73,53.23,141.27,173.4,107.5,2.57,126.91,94.09
6,172.64,90.27,58.31,23.54,140.18,173.8,109.05,7.04,127.88,92.29
7,171.97,86.64,55.46,130.18,139.66,172.68,110.5,4.02,116.11,88.16
8,175.1,86.49,26.97,145.56,151.77,174.51,106.26,4.3,112.51,87.8
9,178.1,29.67,20.62,56.61,173.05,172.3,96.68,18.97,103.35,92.39
10,161.26,31.2,24.57,104.34,163.68,172.84,104.37,178.89,112.0,105.8
11,160.11,45.07,18.92,14.74,164.77,177.27,105.72,76.95,109.38,105.91
12,163.87,,16.64,,168.29,178.13,100.51,36.11,106.26,110.04
13,128.74,,20.22,,173.53,177.93,97.3,18.53,94.49,114.06
14,148.75,,26.85,,174.69,177.45,94.41,42.97,101.73,107.09
15,146.36,,32.53,,179.07,178.07,91.18,20.94,104.22,107.39
16,124.3,,22.36,,170.88,169.23,98.22,1.49,106.28,100.91
17,135.75,,12.91,,172.61,175.62,106.5,10.17,105.41,101.37
18,155.82,,29.04,,172.93,179.66,106.66,23.58,107.95,100.57
19,178.59,,9.61,,171.01,172.06,113.09,13.17,113.26,88.92
20,178.93,,155.85,,163.02,168.88,106.62,9.07,112.61,85.46
21,175.22,,3.79,,174.45,173.29,109.99,14.43,106.37,90.03
22,171.15,,166.17,,173.0,168.37,99.25,25.32,102.32,97.06
23,178.26,,142.6,,171.99,177.05,96.96,12.21,118.02,91.28
24,176.84,,163.21,,169.24,174.72,108.85,1.81,119.94,86.56
25,167.06,,159.97,,172.73,165.27,105.18,10.05,102.8,80.02
26,164.17,,146.07,,175.12,158.38,103.3,,98.22,78.55
27,173.87,,150.02,,174.23,158.45,109.51,,102.2,74.69
28,171.27,,10.84,,171.61,163.32,106.03,,104.72,83.04
29,170.15,,61.7,,175.12,163.1,103.22,,104.05,81.31
30,161.41,,54.78,,172.32,170.01,103.07,,112.21,76.8
31,153.41,,21.84,,170.94,165.91,97.84,,108.56,99.89
32,153.93,,7.2,,173.32,163.69,95.48,,114.26,94.54
33,169.29,,39.6,,172.32,167.93,84.61,,108.84,105.6
34,107.99,,14.05,,157.45,166.17,45.81,,106.64,84.82
35,171.59,,32.21,,163.36,178.16,59.96,,97.61,89.41
36,178.65,,58.52,,167.31,166.42,71.14,,89.94,84.27
37,170.81,,50.54,,168.7,165.63,78.3,,86.22,82.06
38,179.42,,157.46,,159.14,163.59,110.98,,110.55,92.93
39,173.43,,47.38,,157.59,159.43,112.46,,110.98,90.56
40,176.52,,151.96,,156.99,149.7,106.63,,119.15,78.59
