image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,31.24,,38.25,,141.76,138.06,3.62,,63.9,86.37
2,50.29,,35.38,,142.75,140.74,12.53,,62.62,82.89
3,52.58,174.96,35.5,160.75,149.5,132.21,3.39,114.39,70.67,79.21
4,39.48,154.99,35.08,166.44,168.39,136.7,5.22,108.56,82.89,72.53
5,11.81,172.09,35.88,169.5,169.89,137.18,1.45,118.28,76.39,79.6
6,3.02,171.59,24.3,150.09,169.93,138.63,4.23,101.06,59.32,92.2
7,2.16,176.09,46.86,143.74,170.4,143.58,1.5,97.59,63.26,85.65
8,2.36,167.41,53.44,145.46,172.09,145.7,9.78,101.67,76.1,74.04
9,4.27,171.79,60.79,147.19,170.5,151.7,16.35,97.55,75.56,70.24
10,20.16,179.65,54.41,167.26,140.34,121.33,3.76,106.0,88.95,55.42
11,23.53,176.39,55.82,149.73,143.41,139.32,3.18,103.89,78.33,52.18
12,35.86,178.02,50.1,118.6,144.56,136.41,11.17,108.91,83.08,51.98
13,21.51,178.62,44.7,8.19,160.06,130.44,12.14,105.4,67.79,78.39
14,17.64,170.65,53.88,166.26,153.58,138.15,5.68,99.06,71.99,67.68
15,12.2,166.17,58.39,39.22,158.93,140.62,22.24,107.03,78.67,61.35
16,34.12,148.66,55.79,176.56,172.4,178.12,38.3,115.89,176.8,47.44
17,49.08,138.07,55.53,177.81,168.18,171.68,38.0,114.35,169.45,34.26
18,44.34,140.63,52.83,178.29,173.4,172.43,39.44,119.11,144.81,77.71
19,26.19,139.31,50.44,117.33,171.26,175.14,18.55,106.55,113.12,33.51
20,25.55,137.79,50.88,140.81,172.55,178.43,17.05,97.15,101.33,43.52
21,16.0,135.96,56.38,146.46,172.13,178.48,23.44,85.32,93.76,50.33
22,2.71,160.53,47.81,23.02,152.88,145.31,17.48,83.53,70.59,66.69
23,1.75,166.34,33.3,32.85,155.04,144.22,7.0,85.33,78.48,57.66
24,1.14,174.19,41.31,30.59,152.85,148.34,4.92,82.27,74.7,56.71
25,15.05,141.88,42.48,124.19,164.44,154.15,12.05,98.01,82.44,60.52
26,17.38,147.13,45.25,170.01,168.62,163.46,15.29,92.71,78.97,66.6
27,18.98,148.35,45.02,56.14,166.43,175.96,14.77,96.01,70.59,76.29
28,17.52,174.99,12.75,128.55,171.63,162.14,8.72,91.98,62.47,77.56
29,50.45,172.35,14.34,136.85,164.9,167.33,11.68,92.98,54.17,77.81
30,59.87,165.71,15.0,139.75,163.94,158.17,10.18,85.66,52.61,79.4
