image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,1.21,,63.08,,164.08,133.66,21.71,,73.81,94.67
2,11.25,,57.05,,153.99,122.21,15.23,,70.35,102.35
3,15.99,,52.8,,156.01,135.2,12.68,,74.74,90.73
4,23.32,,34.57,,155.53,144.49,2.22,,74.09,75.56
5,18.61,179.25,23.12,167.19,162.01,150.56,9.55,107.51,68.43,76.67
6,17.47,177.21,20.16,170.12,162.41,171.47,14.34,123.82,62.11,70.61
7,6.66,170.46,70.83,162.06,165.82,134.09,24.89,108.18,67.04,84.65
8,3.73,168.36,79.11,163.59,172.15,133.1,30.9,106.22,79.79,81.52
9,0.59,173.55,78.98,161.55,176.95,142.81,32.5,99.63,91.63,72.48
10,16.62,163.36,63.02,168.28,178.23,150.25,19.83,111.94,87.3,69.11
11,18.85,161.78,58.29,166.24,168.71,148.31,21.75,112.65,76.56,72.16
12,15.87,164.91,59.8,167.76,178.85,140.08,28.05,114.89,93.36,68.33
13,3.87,171.98,51.4,175.75,137.56,146.62,25.53,117.3,118.17,12.68
14,12.29,160.54,57.46,179.37,136.82,146.15,21.85,107.9,107.74,21.57
15,26.9,157.07,45.47,176.24,137.22,138.96,14.76,103.55,112.45,18.49
16,22.29,166.35,46.2,177.93,160.6,130.35,23.15,105.94,90.38,64.18
17,16.87,164.25,48.38,178.19,173.38,124.61,31.02,99.37,87.82,74.51
18,28.08,178.04,51.3,177.23,172.53,150.71,13.03,110.26,83.97,68.93
19,24.31,179.34,50.67,179.8,175.58,152.74,7.03,114.61,84.83,66.95
20,36.19,174.89,44.35,174.24,176.74,162.41,7.73,117.16,86.22,65.94
21,29.39,177.27,35.3,176.79,169.38,156.76,9.06,112.5,86.83,65.36
22,24.53,176.96,25.76,155.43,177.44,149.56,19.29,132.85,92.15,65.5
23,40.83,179.87,25.21,163.97,176.84,149.65,19.31,121.14,93.39,65.7
24,29.42,166.47,52.08,169.58,176.92,166.93,29.95,120.79,133.12,8.68
25,36.8,154.49,54.91,179.36,171.95,168.96,39.88,114.43,138.74,0.76
26,33.54,152.79,54.69,175.85,170.25,166.5,38.02,112.77,168.53,52.66
27,26.1,142.38,51.35,176.73,167.02,171.7,35.88,100.57,119.88,28.42
28,29.24,140.1,49.7,177.27,174.57,169.62,34.55,103.64,159.46,0.53
29,25.41,151.08,57.44,179.43,172.01,176.07,37.7,107.46,114.62,35.48
30,27.99,174.1,46.92,174.3,149.77,138.21,2.97,102.1,73.8,67.55
31,31.64,178.78,43.75,165.74,150.65,149.25,7.27,102.9,67.4,64.44
32,31.97,176.53,46.13,162.64,153.46,146.5,1.73,102.25,66.09,67.46
33,36.84,138.9,45.87,170.57,162.17,153.81,10.89,98.47,73.29,67.1
34,33.45,143.44,59.22,169.04,168.53,157.15,26.1,101.74,75.37,66.01
35,28.21,148.71,64.3,173.55,166.58,167.29,34.1,104.92,67.83,66.33
36,59.45,179.45,17.56,174.72,175.9,148.88,10.12,113.87,60.2,85.11
37,41.48,174.41,21.79,171.03,175.05,158.18,11.49,114.34,60.31,78.91
38,88.09,172.63,7.67,166.2,169.32,156.52,18.75,113.77,54.22,80.39
