image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,173.15,9.38,30.67,60.43,165.08,173.78,42.74,29.52,99.47,107.31
2,162.6,6.55,36.45,59.76,156.93,166.87,53.1,30.37,105.74,102.37
3,175.86,8.37,30.7,64.27,165.81,172.9,49.78,32.2,101.25,105.2
4,170.47,9.06,28.8,58.54,169.91,175.82,47.21,25.52,105.65,102.81
5,165.83,8.76,23.82,49.6,172.2,169.96,31.98,26.59,97.64,101.91
6,159.28,7.75,21.29,43.75,175.1,169.66,30.88,19.83,97.47,99.56
7,168.8,7.63,25.62,48.96,172.23,162.61,35.39,24.69,97.74,93.06
8,166.3,0.79,21.84,47.88,169.56,167.24,42.63,23.16,96.55,98.37
9,174.18,8.07,30.89,45.46,178.36,165.81,32.28,15.8,89.6,100.42
10,141.77,0.15,31.6,48.33,172.42,173.06,23.78,26.16,87.64,94.67
11,168.3,0.96,27.38,51.27,175.89,175.58,37.55,20.4,92.6,99.51
12,167.79,8.98,43.31,55.98,179.19,174.84,41.7,31.34,93.23,95.33
13,170.91,10.84,39.75,48.52,169.67,158.19,58.16,49.89,115.97,80.66
14,179.69,13.13,37.21,55.24,167.2,160.64,42.6,46.43,119.21,80.78
15,152.32,20.6,41.72,58.54,168.78,156.64,44.54,50.94,118.11,84.28
16,153.78,17.29,45.12,53.23,175.94,166.65,40.06,45.14,83.15,109.73
17,155.6,15.72,43.71,52.55,179.88,176.29,40.56,46.39,87.13,105.03
18,145.54,28.15,60.99,54.62,172.3,176.13,49.66,49.0,86.63,110.29
19,178.06,20.95,63.01,57.04,178.53,170.56,31.27,50.54,91.4,103.46
20,173.43,3.2,35.86,54.9,156.68,158.6,40.63,48.35,116.94,88.78
21,164.0,3.8,40.39,56.73,154.06,170.6,45.59,36.45,115.69,106.4
22,151.38,13.68,41.89,67.93,161.21,179.53,51.27,44.54,114.75,108.35
23,153.29,13.31,39.66,54.46,162.04,178.66,45.96,23.55,113.3,114.14
24,158.31,11.95,46.0,70.98,152.24,160.8,62.23,43.75,121.18,97.4
25,160.69,7.78,39.8,68.36,151.49,165.22,62.65,51.91,118.46,100.42
26,154.82,13.96,53.63,66.72,157.0,157.13,58.88,64.16,116.76,95.22
27,118.84,14.69,26.22,45.07,176.9,163.04,2.7,30.43,104.31,98.13
28,152.11,6.65,24.07,45.69,170.57,162.27,14.51,20.77,105.25,101.78
29,163.1,0.39,25.9,50.68,176.41,166.66,17.59,31.46,102.07,107.13
30,159.29,2.29,31.44,52.73,168.58,162.06,15.14,34.94,108.62,106.61
31,102.26,29.87,172.12,132.26,175.17,163.04,6.07,87.58,96.72,92.76
32,132.95,51.74,70.71,70.97,172.05,166.68,65.73,61.82,98.78,89.28
33,145.11,12.65,18.42,50.46,165.43,173.97,25.0,45.95,100.05,96.2
34,171.61,9.94,,51.52,170.05,170.71,,46.42,99.43,98.75
35,157.97,14.48,,44.72,178.03,179.1,,39.03,93.85,106.99
36,154.27,9.68,,45.94,179.43,171.49,,31.93,86.0,107.84
37,176.26,17.1,,42.38,177.98,165.58,,37.06,83.4,110.32
38,157.29,9.22,,44.41,174.58,164.79,,38.34,89.03,107.17
39,93.68,18.29,,52.79,175.09,162.7,,51.0,89.45,99.9
40,137.72,9.29,,52.81,178.66,166.97,,28.87,89.39,101.52
41,173.16,4.2,,46.07,177.94,164.34,,9.83,85.41,106.36
42,169.3,26.96,,52.26,177.83,179.36,,54.35,88.12,107.25
