image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,174.95,3.76,173.68,58.6,175.87,176.5,97.61,23.05,103.54,110.43
2,172.24,10.28,169.93,55.99,176.37,179.86,92.83,5.41,103.9,110.03
3,174.13,4.11,172.03,48.82,178.6,174.31,96.32,6.09,107.59,109.99
4,176.18,8.95,179.07,50.02,178.06,171.15,98.46,7.45,101.39,100.56
5,178.66,12.94,177.23,51.06,178.91,169.4,100.76,5.96,100.25,96.42
6,176.9,10.21,172.68,49.45,179.43,165.54,98.08,8.98,103.17,94.23
7,176.99,43.07,148.15,30.86,159.48,170.26,89.31,10.77,105.38,91.86
8,179.94,35.16,146.8,35.48,160.1,173.06,84.66,6.59,103.01,93.35
9,165.33,26.93,163.76,38.17,161.68,173.31,104.28,3.32,106.28,88.34
10,171.6,21.51,167.04,59.36,177.15,174.28,98.54,19.94,102.55,100.67
11,169.43,24.26,165.83,55.72,178.38,174.2,98.11,16.39,105.32,99.89
12,174.96,15.17,163.97,63.24,179.38,175.14,99.05,29.73,105.96,98.46
13,176.42,12.31,161.12,46.95,178.84,174.07,96.56,13.65,109.34,114.66
14,178.37,25.05,163.72,35.95,164.9,179.58,98.09,5.26,109.14,113.63
15,175.01,27.21,164.8,43.41,163.86,179.29,93.98,0.96,108.97,115.58
16,179.9,26.02,175.55,40.95,178.37,176.72,99.59,29.76,111.06,99.88
17,177.13,26.81,179.34,42.54,179.27,177.09,97.9,27.45,107.59,101.1
18,179.1,18.21,170.75,58.88,179.99,171.99,100.22,4.17,106.98,103.45
19,177.6,14.47,168.84,63.21,177.89,171.74,101.99,2.68,109.04,104.72
20,177.07,16.56,162.84,49.63,179.93,169.77,99.6,7.51,108.42,103.92
21,160.14,54.87,101.71,106.94,158.55,172.76,67.34,81.04,108.07,93.56
22,161.65,9.98,158.39,41.73,158.91,171.86,110.42,13.4,106.9,90.51
23,172.61,0.2,164.21,44.37,156.43,173.58,110.28,14.4,103.58,94.65
24,173.55,6.75,161.51,54.71,150.12,170.4,102.58,29.66,105.26,92.45
25,176.74,1.44,165.51,56.53,153.94,170.15,103.11,29.23,98.9,94.15
26,179.9,1.78,171.4,54.9,151.67,171.66,105.28,26.93,101.09,94.69
27,152.87,17.71,156.38,56.25,158.15,171.88,75.2,19.64,89.92,108.85
28,173.89,0.37,150.33,33.37,164.32,167.86,74.83,6.8,91.3,104.59
29,175.1,10.75,150.38,26.7,175.0,175.36,79.04,4.76,87.92,108.97
30,176.4,31.02,167.87,34.47,176.93,175.7,98.91,10.22,80.56,109.2
31,179.41,16.36,165.65,49.14,179.55,176.27,95.93,21.07,79.45,111.49
32,176.81,18.78,162.03,51.49,176.91,170.99,96.18,26.32,78.46,111.32
