image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,,10.3,,22.57,179.3,170.25,,24.7,99.81,105.81
2,,10.22,,25.69,176.85,174.0,,18.61,100.11,104.44
3,,3.31,,45.72,175.22,179.22,,4.76,107.41,105.05
4,,7.51,,63.58,173.5,176.57,100.84,8.7,106.46,101.25
5,179.81,16.56,152.23,52.82,165.67,174.99,97.46,0.86,107.61,100.13
6,168.88,10.62,178.88,43.9,170.72,175.19,95.64,4.63,108.16,101.82
7,178.63,78.23,176.77,14.4,142.68,177.95,102.76,28.87,109.37,94.25
8,179.61,39.33,176.85,24.42,152.38,163.58,104.0,19.22,108.05,103.73
9,175.69,38.13,174.85,13.91,165.68,163.27,103.11,18.57,107.83,102.06
10,175.76,8.93,133.93,62.5,174.25,157.64,79.88,34.49,99.94,114.37
11,178.0,9.51,170.63,75.91,174.49,171.12,104.59,48.12,99.85,109.53
12,177.04,8.9,176.99,63.24,174.93,178.11,111.35,42.61,102.17,100.68
13,174.35,5.86,167.82,33.39,172.55,159.6,110.4,4.96,98.92,89.71
14,175.28,9.99,155.39,46.66,172.32,161.23,114.54,11.9,82.0,103.47
15,172.02,15.89,175.04,43.24,177.62,165.96,99.51,8.74,82.26,101.98
16,169.16,9.59,173.21,39.93,175.0,168.37,99.53,18.62,89.71,99.06
17,171.3,9.18,128.48,42.95,176.42,166.62,87.86,20.67,89.49,97.54
18,162.23,15.46,151.91,43.15,178.2,165.58,84.87,15.53,89.36,99.4
19,143.92,44.38,6.21,25.48,159.81,179.29,77.3,23.62,105.93,113.11
20,146.0,45.43,2.22,25.13,159.99,179.47,79.84,26.61,99.45,116.57
21,36.35,43.17,6.19,25.36,156.9,177.65,81.77,21.03,101.96,113.26
22,147.04,49.53,14.49,30.02,179.41,176.47,65.09,36.04,110.72,99.42
23,127.33,53.78,15.81,27.89,174.47,178.74,67.06,33.49,116.28,95.86
24,147.55,41.57,6.62,21.67,176.58,179.28,68.65,33.18,111.94,98.21
25,175.04,76.2,157.98,38.23,180.0,165.48,100.99,16.94,106.58,105.19
26,168.47,35.2,163.01,46.18,172.55,161.24,98.69,5.57,112.0,106.71
27,170.58,37.75,178.19,40.74,177.11,166.83,106.31,1.26,112.09,108.77
28,171.35,9.19,173.19,22.02,144.47,170.29,106.47,6.99,117.19,101.58
29,177.54,40.37,146.06,21.55,139.28,170.04,103.13,4.48,118.68,99.8
30,171.86,42.8,144.12,11.98,137.44,168.7,111.9,17.19,122.58,94.65
31,178.74,23.52,167.29,27.91,149.04,174.96,97.18,3.16,99.94,106.97
32,168.94,17.34,163.06,34.75,169.17,171.54,92.01,13.4,90.5,104.31
33,177.94,8.91,154.56,32.78,167.36,173.55,89.42,9.93,92.6,106.7
34,175.18,23.77,169.87,37.52,160.99,171.52,100.95,14.31,104.51,101.32
35,165.35,24.19,175.07,37.4,166.33,176.25,93.35,5.84,101.31,103.64
36,163.11,11.95,170.21,29.22,171.0,176.73,81.44,4.36,104.02,103.46
37,162.46,10.27,1.51,37.15,176.52,171.38,85.09,3.25,89.47,99.51
38,175.61,17.25,27.59,36.37,174.82,174.14,87.43,2.65,87.45,101.99
39,177.25,17.41,45.16,39.63,177.61,173.17,78.63,1.2,86.67,104.88
