image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,18.99,160.44,157.84,24.78,168.64,125.82,118.79,113.03,158.34,10.11
2,62.25,150.53,164.49,35.26,150.08,143.15,138.74,117.74,5.46,133.89
3,58.17,163.06,113.71,16.42,148.79,136.67,84.13,114.46,17.71,124.57
4,6.41,175.71,14.08,6.34,154.04,148.89,68.45,96.35,56.21,89.45
5,22.13,162.78,110.73,8.45,152.66,151.2,19.9,107.46,61.18,83.58
6,103.66,175.04,8.58,0.92,155.06,150.33,62.31,109.26,59.49,84.92
7,51.44,178.49,48.0,174.1,164.09,142.15,68.99,111.52,34.4,124.44
8,42.15,179.68,179.99,168.39,178.39,148.75,58.85,114.53,17.79,148.08
9,29.84,178.32,172.04,164.03,174.97,151.97,71.32,115.98,56.39,106.43
10,21.73,151.41,131.56,168.77,166.14,173.15,68.98,106.43,69.64,78.67
11,24.27,144.36,138.75,178.85,168.4,169.57,81.14,104.99,86.88,63.9
12,22.25,154.48,133.59,177.92,169.35,176.43,69.87,110.68,94.42,53.3
13,84.42,145.37,144.2,173.46,167.66,177.76,19.62,104.46,132.16,79.12
14,76.56,152.81,,151.5,172.54,177.52,,107.03,81.11,68.2
15,,148.8,,126.21,175.55,173.33,,99.96,45.73,107.24
16,,169.89,,95.57,132.97,167.75,,99.65,107.87,144.44
17,,178.77,,92.05,142.13,158.84,,100.13,114.91,132.26
18,,178.03,,59.69,144.63,155.91,,100.34,116.68,129.89
19,,136.51,,19.52,155.47,172.71,,100.37,33.2,84.82
20,,145.58,,8.97,142.95,166.73,,108.64,34.52,73.62
21,,144.36,,10.58,147.97,170.47,,109.63,24.43,87.11
22,,179.99,,33.15,168.87,163.8,,114.55,49.77,84.31
23,,170.2,,141.52,159.84,159.36,,112.45,26.79,97.72
24,,177.62,,158.9,160.88,162.94,,112.0,27.31,96.63
25,,119.04,,173.29,141.12,117.46,,121.66,146.92,47.88
26,,177.74,,164.52,155.65,132.21,,120.08,58.01,102.01
27,,171.52,,156.54,156.28,129.76,,110.83,72.73,93.68
28,,173.3,,113.83,166.82,147.65,,100.28,108.33,52.75
29,,165.07,,141.17,164.06,145.61,,104.11,100.86,52.99
30,,166.11,,117.03,169.48,145.58,,100.55,89.64,65.78
31,,169.94,,33.89,167.1,154.69,,96.0,62.53,87.15
32,,169.07,,133.79,171.63,153.43,,105.42,64.68,89.91
33,,175.44,,135.35,171.19,154.62,,100.51,62.18,91.53
