image,L_Hand,R_Hand,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
1,112.81,62.7,158.88,165.93,164.43,161.93,105.45,106.34,29.5,175.34
2,70.55,106.51,178.12,162.69,157.19,142.26,98.37,112.92,1.67,163.1
3,46.67,133.32,143.95,171.88,161.71,157.21,116.57,104.99,23.0,160.04
4,140.66,59.99,117.11,177.83,175.56,138.01,122.26,92.11,89.59,104.55
5,111.59,4.7,167.14,178.39,175.79,137.52,172.04,95.53,68.19,115.96
6,154.08,57.01,166.43,179.9,171.66,133.56,4.0,87.09,30.17,152.49
7,58.44,170.2,169.0,168.57,175.43,144.84,28.81,118.23,11.49,161.6
8,55.98,164.09,163.64,167.32,174.8,155.49,36.07,121.32,10.77,158.91
9,45.28,179.03,178.51,160.73,173.73,157.39,47.76,113.73,10.15,156.02
10,102.42,169.6,154.89,174.68,176.08,164.65,9.26,105.32,96.84,110.81
11,103.94,165.41,,171.91,176.58,174.61,,109.98,101.0,113.31
12,103.98,162.61,,172.1,176.27,167.16,,107.01,103.79,105.81
13,22.73,179.77,,168.26,154.11,147.06,,106.64,115.16,113.33
14,30.94,172.22,,169.85,153.99,144.86,,115.59,113.5,114.25
15,,155.0,,178.78,161.6,160.86,,106.16,102.88,125.66
16,,150.58,,177.88,164.99,160.74,,106.02,107.32,118.81
17,,179.02,,176.21,156.63,163.35,,116.7,19.49,107.54
18,,174.17,,178.88,163.16,161.76,,119.08,37.61,89.66
19,,173.94,,175.19,162.32,163.45,,123.43,34.32,85.66
20,,168.74,,122.12,154.42,118.38,,76.35,76.16,101.52
21,,170.91,,178.3,154.67,121.31,,122.86,60.45,115.97
22,,179.25,,170.34,158.14,126.32,,114.4,63.05,109.1
23,,123.21,,108.36,151.17,156.05,,73.11,66.17,70.24
24,,175.65,,178.12,154.85,165.29,,102.75,62.07,72.02
25,,178.99,,173.38,157.71,172.22,,111.35,52.16,79.82
26,,169.48,,160.1,156.9,161.87,,104.51,46.85,91.99
27,,167.35,,164.44,163.14,160.37,,110.23,47.97,99.65
28,,168.38,,171.24,159.32,149.25,,115.09,49.12,102.69
